Reporter Identifier	T00275905 normalised intensity	T00275905 quality flag
GE1100063	21.203	GOOD
GE1100079	1.307	GOOD
GE1100082	0.262	EMPTY
GE1100112	10.793	GOOD
GE1100122	1.205	GOOD
GE1100133	18.905	GOOD
GE1100141	0.881	GOOD
GE1100147	0.391	GOOD
GE1100158	21.473	GOOD
GE1100168	5.792	GOOD
GE1100172	3.166	GOOD
GE1100181	0.816	GOOD
GE1100194	1.802	GOOD
GE1100195	0.08	EMPTY
GE1100204	0.179	EMPTY
GE1100206	0.081	EMPTY
GE1100210	0.711	GOOD
GE1100215	1.31	GOOD
GE1100219	0.565	GOOD
GE1100230	6.759	GOOD
GE1100240	2.735	GOOD
GE1100244	11.492	GOOD
GE1100246	16.278	GOOD
GE1100254	1.901	POOR
GE1100257	0.308	EMPTY
GE1100270	3.534	GOOD
GE1100273	2.336	GOOD
GE1100287	2.927	GOOD
GE1100293	0.168	EMPTY
GE1100320	0.274	EMPTY
GE1100325	0.118	EMPTY
GE1100326	9.427	GOOD
GE1100338	0.08	EMPTY
GE1100342	1.04	GOOD
GE1100343	0.041	EMPTY
GE1100349	0.159	EMPTY
GE1100350	0.247	EMPTY
GE1100359	3.627	GOOD
GE1100388	6.48	GOOD
GE1100398	0.085	EMPTY
GE1100402	9.22	GOOD
GE1100404	4.527	GOOD
GE1100407	0.147	EMPTY
GE1100419	0.433	GOOD
GE1100420	1.276	GOOD
GE1100430	0.191	EMPTY
GE1100432	2.953	GOOD
GE1100445	0.066	EMPTY
GE1100449	0.256	EMPTY
GE1100462	0.16	EMPTY
GE1100475	0.076	EMPTY
GE1100480	0.117	EMPTY
GE1100511	17.218	GOOD
GE1100514	4.469	GOOD
GE1100515	5.33	GOOD
GE1100517	5.206	GOOD
GE1100535	0.065	EMPTY
GE1100536	0.308	EMPTY
GE1100537	10.257	GOOD
GE1100546	11.95	GOOD
GE1100556	0.617	GOOD
GE1100560	14.322	GOOD
GE1100565	0.132	EMPTY
GE1100574	0.277	EMPTY
GE1100575	0.275	EMPTY
GE1100577	27.559	GOOD
GE1100581	0.635	GOOD
GE1100584	14.719	GOOD
GE1100585	5.595	GOOD
GE1100587	0.128	EMPTY
GE1100598	0.126	EMPTY
GE1100615	15.44	GOOD
GE1100643	0.159	EMPTY
GE1100644	3.892	GOOD
GE1100657	0.888	GOOD
GE1100660	0.121	EMPTY
GE1100661	0.218	EMPTY
GE1100666	1.199	GOOD
GE1100671	4.909	GOOD
GE1100676	0.623	GOOD
GE1100698	0.15	EMPTY
GE1100699	0.063	EMPTY
GE1100721	0.051	EMPTY
GE1100728	3.181	GOOD
GE1100730	8.146	GOOD
GE1100750	0.06	EMPTY
GE1100771	0.144	EMPTY
GE1100773	0.24	EMPTY
GE1100785	0.25	EMPTY
GE1100788	1.29	GOOD
GE1100795	5.229	GOOD
GE1100796	0.1	EMPTY
GE1100802	0.249	EMPTY
GE1100803	0.099	EMPTY
GE1100806	7.767	GOOD
GE1100811	0.118	EMPTY
GE1100815	2.819	GOOD
GE1100825	0.525	GOOD
GE1100841	1.58	GOOD
GE1100843	0.494	GOOD
GE1100851	0.128	EMPTY
GE1100859	0.042	EMPTY
GE1100877	0.816	GOOD
GE1100884	1.084	GOOD
GE1100885	3.661	GOOD
GE1100893	0.608	GOOD
GE1100902	10.214	GOOD
GE1100906	0.253	EMPTY
GE1100956	0.085	EMPTY
GE1100961	3.292	GOOD
GE1100977	0.221	EMPTY
GE1100984	29.759	GOOD
GE1100985	2.77	GOOD
GE1100989	0.211	EMPTY
GE1100998	0.278	EMPTY
GE1101010	14.297	GOOD
GE1101016	0.527	GOOD
GE1101020	0.207	EMPTY
GE1101042	0.364	EMPTY
GE1101047	0.325	EMPTY
GE1101056	0.152	EMPTY
GE1101066	7.159	GOOD
GE1101079	1.325	GOOD
GE1101088	7.564	GOOD
GE1101119	0.295	EMPTY
GE1101120	0.13	EMPTY
GE1101129	27.469	GOOD
GE1101150	0.131	EMPTY
GE1101152	0.047	EMPTY
GE1101153	0.827	GOOD
GE1101156	2.053	GOOD
GE1101166	4.916	GOOD
GE1101171	1.007	GOOD
GE1101176	11.48	GOOD
GE1101178	0.057	EMPTY
GE1101202	0.602	GOOD
GE1101213	5.917	GOOD
GE1101225	0.045	EMPTY
GE1101227	6.729	GOOD
GE1101228	0.122	EMPTY
GE1101231	0.265	EMPTY
GE1101245	0.85	GOOD
GE1101249	0.256	EMPTY
GE1101256	0.166	EMPTY
GE1101275	1.63	GOOD
GE1101278	0.251	EMPTY
GE1101298	0.339	EMPTY
GE1101302	0.517	GOOD
GE1101316	0.947	GOOD
GE1101322	0.122	EMPTY
GE1101324	0.192	EMPTY
GE1101325	1.158	GOOD
GE1101341	0.903	GOOD
GE1101346	2.088	GOOD
GE1101351	0.283	EMPTY
GE1101364	7.353	GOOD
GE1101382	3.921	GOOD
GE1101391	2.862	GOOD
GE1101396	0.487	GOOD
GE1101408	0.043	EMPTY
GE1101409	2.973	GOOD
GE1101411	0.363	EMPTY
GE1101419	0.759	GOOD
GE1101422	0.156	EMPTY
GE1101424	0.832	GOOD
GE1101435	2.179	GOOD
GE1101436	1.017	POOR
GE1101442	0.782	GOOD
GE1101452	2.069	GOOD
GE1101474	0.986	GOOD
GE1101481	0.382	GOOD
GE1101484	0.319	EMPTY
GE1101504	1.274	GOOD
GE1101508	13.957	GOOD
GE1101510	0.045	EMPTY
GE1101521	0.777	GOOD
GE1101526	31.944	GOOD
GE1101528	0.367	EMPTY
GE1101534	0.203	EMPTY
GE1101537	1.248	GOOD
GE1101563	4.422	GOOD
GE1101568	0.504	GOOD
GE1101572	8.891	GOOD
GE1101576	0.218	EMPTY
GE1101596	0.332	EMPTY
GE1101628	14.519	GOOD
GE1101647	1.881	GOOD
GE1101657	4.919	GOOD
GE1101666	3.248	GOOD
GE1101669	0.049	EMPTY
GE1101671	0.061	EMPTY
GE1101687	3.595	GOOD
GE1101689	33.712	GOOD
GE1101701	0.099	EMPTY
GE1101702	0.858	GOOD
GE1101708	0.672	GOOD
GE1101738	0.28	EMPTY
GE1101742	0.783	GOOD
GE1101754	0.093	EMPTY
GE1101761	5.752	GOOD
GE1101782	0.046	EMPTY
GE1101785	0.251	EMPTY
GE1101788	0.147	EMPTY
GE1101792	14.614	GOOD
GE1101794	0.096	EMPTY
GE1101802	2.067	GOOD
GE1101827	50.502	GOOD
GE1101846	1.11	GOOD
GE1101847	0.049	EMPTY
GE1101857	0.173	EMPTY
GE1101867	31.915	GOOD
GE1101868	1.278	GOOD
GE1101872	1.324	GOOD
GE1101875	0.149	EMPTY
GE1101886	0.185	EMPTY
GE1101902	0.18	EMPTY
GE1101914	3.828	GOOD
GE1101918	0.633	GOOD
GE1101931	5.756	GOOD
GE1101942	0.785	GOOD
GE1101949	0.505	GOOD
GE1101957	0.642	GOOD
GE1101959	0	NEGATIVE
GE1101971	1.647	GOOD
GE1101973	1.062	GOOD
GE1101975	0.102	EMPTY
GE1101982	0.037	EMPTY
GE1101986	10.125	GOOD
GE1101999	0.065	EMPTY
GE1102007	0.756	GOOD
GE1102011	24.862	GOOD
GE1102023	0.157	EMPTY
GE1102030	0.227	EMPTY
GE1102032	0.085	EMPTY
GE1102038	0.298	EMPTY
GE1102049	0.35	EMPTY
GE1102059	8.158	GOOD
GE1102077	0.29	EMPTY
GE1102098	0.635	GOOD
GE1102113	0.059	EMPTY
GE1102114	0.142	EMPTY
GE1102116	0.082	EMPTY
GE1102120	0.021	EMPTY
GE1102136	1.784	GOOD
GE1102163	1.257	GOOD
GE1102166	0.822	GOOD
GE1102168	0.047	EMPTY
GE1102169	0.362	EMPTY
GE1102172	0.119	EMPTY
GE1102205	0.387	GOOD
GE1102220	3.05	GOOD
GE1102225	1.197	GOOD
GE1102228	3.641	GOOD
GE1102257	0.491	GOOD
GE1102259	41.187	GOOD
GE1102270	0.171	EMPTY
GE1102273	144.405	GOOD
GE1102280	0.192	EMPTY
GE1102285	2.05	GOOD
GE1102293	0.101	EMPTY
GE1102295	0.047	EMPTY
GE1102300	0.236	EMPTY
GE1102312	6.82	GOOD
GE1102322	0.019	EMPTY
GE1102335	0.93	GOOD
GE1102337	0.232	EMPTY
GE1102338	1.191	GOOD
GE1102350	1.528	GOOD
GE1102357	0.053	EMPTY
GE1102369	0.19	EMPTY
GE1102371	5.811	GOOD
GE1102376	7.148	GOOD
GE1102381	0.975	GOOD
GE1102396	14.099	GOOD
GE1102398	1.122	GOOD
GE1102401	0.132	EMPTY
GE1102419	0.659	GOOD
GE1102420	9.979	GOOD
GE1102422	-0.001	NEGATIVE
GE1102432	0.232	EMPTY
GE1102436	1.076	GOOD
GE1102439	11.708	GOOD
GE1102461	1.205	GOOD
GE1102464	0.167	EMPTY
GE1102465	0.104	EMPTY
GE1102466	0.153	EMPTY
GE1102468	1.292	GOOD
GE1102488	NA	MSR
GE1102495	1.683	POOR
GE1102501	1.516	GOOD
GE1102524	0.049	EMPTY
GE1102526	0.216	EMPTY
GE1102559	0.11	EMPTY
GE1102564	11.572	GOOD
GE1102588	0.695	GOOD
GE1102599	0.326	EMPTY
GE1102600	0.161	EMPTY
GE1102609	0.582	GOOD
GE1102617	6.517	GOOD
GE1102623	0.5	GOOD
GE1102634	1.603	GOOD
GE1102645	4.574	GOOD
GE1102654	1.751	GOOD
GE1102657	0.505	GOOD
GE1102660	-0.012	NEGATIVE
GE1102670	0.242	EMPTY
GE1102675	0.195	EMPTY
GE1102694	0.476	GOOD
GE1102696	1.282	GOOD
GE1102699	0.719	GOOD
GE1102707	0.075	EMPTY
GE1102709	0.176	EMPTY
GE1102732	1.772	GOOD
GE1102743	8.085	GOOD
GE1102747	1.993	GOOD
GE1102760	10.513	GOOD
GE1102770	1.257	GOOD
GE1102784	0.124	EMPTY
GE1102806	0.855	GOOD
GE1102809	0.173	EMPTY
GE1102812	1.218	GOOD
GE1102817	2.352	GOOD
GE1102826	0.882	EMPTY
GE1102827	0.669	GOOD
GE1102835	23.336	GOOD
