Reporter Identifier	T00247074 normalised intensity	T00247074 quality flag
GE1100063	27.151	GOOD
GE1100079	0.802	GOOD
GE1100082	0.141	EMPTY
GE1100112	10.151	GOOD
GE1100122	1.696	GOOD
GE1100133	23.054	GOOD
GE1100141	0.886	GOOD
GE1100147	0.281	EMPTY
GE1100158	24.488	GOOD
GE1100168	4.973	GOOD
GE1100172	3.213	GOOD
GE1100181	1.031	GOOD
GE1100194	2.136	GOOD
GE1100195	0.232	EMPTY
GE1100204	0.124	EMPTY
GE1100206	0.223	EMPTY
GE1100210	0.434	EMPTY
GE1100215	1.333	GOOD
GE1100219	0.375	EMPTY
GE1100230	6.64	GOOD
GE1100240	2.554	GOOD
GE1100244	11.405	GOOD
GE1100246	17.979	GOOD
GE1100254	5.125	GOOD
GE1100257	0.527	GOOD
GE1100270	2.505	GOOD
GE1100273	3.052	GOOD
GE1100287	2.487	GOOD
GE1100293	0.057	EMPTY
GE1100320	0.185	EMPTY
GE1100325	0.212	EMPTY
GE1100326	9.615	GOOD
GE1100338	0.075	EMPTY
GE1100342	0.89	GOOD
GE1100343	0.076	EMPTY
GE1100349	0.122	EMPTY
GE1100350	0.197	EMPTY
GE1100359	6.066	GOOD
GE1100388	6.723	GOOD
GE1100398	0.149	EMPTY
GE1100402	8.077	GOOD
GE1100404	5.461	GOOD
GE1100407	0.176	EMPTY
GE1100419	0.212	EMPTY
GE1100420	1.499	GOOD
GE1100430	0.16	EMPTY
GE1100432	2.753	GOOD
GE1100445	0.112	EMPTY
GE1100449	0.185	EMPTY
GE1100462	0.059	EMPTY
GE1100475	0.082	EMPTY
GE1100480	0.284	EMPTY
GE1100511	21.452	GOOD
GE1100514	4.472	GOOD
GE1100515	4.751	GOOD
GE1100517	5.01	GOOD
GE1100535	0.121	EMPTY
GE1100536	0.13	EMPTY
GE1100537	13.894	GOOD
GE1100546	16.186	GOOD
GE1100556	0.797	GOOD
GE1100560	20.513	GOOD
GE1100565	0.003	EMPTY
GE1100574	0.189	EMPTY
GE1100575	0.207	EMPTY
GE1100577	33.113	GOOD
GE1100581	0.429	EMPTY
GE1100584	15.102	GOOD
GE1100585	7.111	GOOD
GE1100587	0.049	EMPTY
GE1100598	0.136	EMPTY
GE1100615	15.506	GOOD
GE1100643	0.102	EMPTY
GE1100644	4.254	GOOD
GE1100657	0.866	GOOD
GE1100660	0.167	EMPTY
GE1100661	0.295	EMPTY
GE1100666	1.082	GOOD
GE1100671	3.99	GOOD
GE1100676	0.512	GOOD
GE1100698	0.22	EMPTY
GE1100699	0.206	EMPTY
GE1100721	0.087	EMPTY
GE1100728	3.872	GOOD
GE1100730	10.597	GOOD
GE1100750	0.127	EMPTY
GE1100771	0.249	EMPTY
GE1100773	0.139	EMPTY
GE1100785	0.261	EMPTY
GE1100788	1.598	GOOD
GE1100795	6.152	GOOD
GE1100796	0.214	EMPTY
GE1100802	0.217	EMPTY
GE1100803	0.205	EMPTY
GE1100806	9.256	GOOD
GE1100811	0.121	EMPTY
GE1100815	2.744	GOOD
GE1100825	0.297	EMPTY
GE1100841	0.644	GOOD
GE1100843	0.198	EMPTY
GE1100851	0.191	EMPTY
GE1100859	0.24	EMPTY
GE1100877	0.942	GOOD
GE1100884	1.291	GOOD
GE1100885	5.405	GOOD
GE1100893	0.183	EMPTY
GE1100902	11.234	GOOD
GE1100906	0.24	EMPTY
GE1100956	-0.022	NEGATIVE
GE1100961	3.438	GOOD
GE1100977	0.156	EMPTY
GE1100984	34.528	GOOD
GE1100985	2.621	GOOD
GE1100989	0.22	EMPTY
GE1100998	0.269	EMPTY
GE1101010	14.301	GOOD
GE1101016	0.255	EMPTY
