st_gene_id,gene_id,gene_symbol,fpkm_ato1,fpkm_ato2,fpkm_ato3,fpkm_db1,fpkm_db2,fpkm_db3,tpm_ato1,tpm_ato2,tpm_ato3,tpm_db1,tpm_db2,tpm_db3,read_count_ato1,read_count_ato2,read_count_ato3,read_count_db1,read_count_db2,read_count_db3,average_fpkm_ato10,average_fpkm_db,average_tpm_ato10,average_tpm_db,average_read_count_ato10,average_read_count_db
G10090_2059,13728,Mark2,26.92,29.13,21.26,20.08,21.67,22.4,38.78,47.99,34.58,34.94,35.86,37.53,1552,1724,1136,1058,998,1112,25.77,21.38333333,40.45,36.11,1470.666667,1056
G10090_881,52897,Rbfox3,0.51,0.13,0.43,0.34,0.69,0.35,0.74,0.21,0.69,0.59,1.14,0.59,22,5,14,11,20,10,0.356666667,0.46,0.546666667,0.773333333,13.66666667,13.66666667
G10090_3080,72823,Pard3b,2.47,2,1.98,2.21,2.34,1.96,3.56,3.29,3.21,3.85,3.87,3.28,271,218,198,223,199,187,2.15,2.17,3.353333333,3.666666667,229,203
G10090_2347,108123,Napg,9.88,13.08,11.81,10.94,11.29,11.62,14.23,21.55,19.21,19.04,18.69,19.46,488,642,519,481,430,483,11.59,11.28333333,18.33,19.06333333,549.6666667,464.6666667
G10090_32475,80876,Ifitm2,1220.11,223.93,271.94,200.98,243.32,177.4,1757.48,368.86,442.37,349.77,402.67,297.16,8519,1548,1679,1229,1314,1033,571.9933333,207.2333333,856.2366667,349.8666667,3915.333333,1192
G10090_11939,67375,Qprt,12.62,54.08,36.46,28.53,27.84,37.97,18.18,89.08,59.3,49.64,46.08,63.6,193,826,498,388,331,490,34.38666667,31.44666667,55.52,53.10666667,505.6666667,403
G10090_7173,225631,Onecut2,0.04,0.02,0,0,0.01,0,0.05,0.03,0,0,0.01,0,7,4,0,0,1,0,0.02,0.003333333,0.026666667,0.003333333,3.666666667,0.333333333
G10090_31526,66427,Cyb5b,53.51,93.64,104.19,100.83,85.79,137.01,77.07,154.24,169.49,175.47,141.98,229.5,3234,5684,5661,5473,4044,7041,83.78,107.8766667,133.6,182.3166667,4859.666667,5519.333333
G10090_10592,16195,Il6st,19.04,17.75,17.85,15.8,16.86,15.95,27.42,29.24,29.03,27.5,27.9,26.71,1472,1379,1241,1098,1017,1049,18.21333333,16.20333333,28.56333333,27.37,1364,1054.666667
G10090_21921,109828,C7,2.87,2.32,4.8,1.26,4.61,1.64,4.13,3.83,7.81,2.18,7.62,2.75,107,87,161,42,134,52,3.33,2.503333333,5.256666667,4.183333333,118.3333333,76
G10090_30835,68991,Ssu72,60.37,44.96,46.56,38.84,38.53,42.72,86.96,74.06,75.74,67.6,63.76,71.55,1151,858,795,661,572,689,50.63,40.03,78.92,67.63666667,934.6666667,640.6666667
G10090_26401,108168734,2900093K20Rik,2.1,2.85,1.87,1.81,1.83,1.24,3.03,4.69,3.04,3.14,3.03,2.08,34,46,27,26,23,17,2.273333333,1.626666667,3.586666667,2.75,35.66666667,22
G10090_21576,233189,Ctu1,3.06,3.77,2.51,3.64,3.2,2.62,4.4,6.21,4.09,6.34,5.29,4.39,103,127,76,110,84,75,3.113333333,3.153333333,4.9,5.34,102,89.66666667
G10090_27290,20262,Stmn3,0.21,0,0,0,0.09,0.25,0.3,0,0,0,0.15,0.41,3,0,0,0,1,3,0.07,0.113333333,0.1,0.186666667,1,1.333333333
G10090_3174,56844,Tssc4,21.5,16.47,14.21,16.78,14.57,14.75,30.97,27.13,23.11,29.21,24.11,24.71,440,318,270,313,233,243,17.39333333,15.36666667,27.07,26.01,342.6666667,263
G10090_28759,18008,Nes,10.57,5.96,4.66,5.68,3.91,4.41,15.22,9.82,7.57,9.89,6.47,7.39,921,522,365,445,266,327,7.063333333,4.666666667,10.87,7.916666667,602.6666667,346
