gene	RK10.3	RK11.3	RK12.2	RK12.3	RK7.1	RK7.2	RK8.1	RK8.2	RK2.1	RK2.2	RK3.1	RK3.2	RK4.1	RK4.2	RK6.1	RK6.2
ENSRNOG00000000001	0	0	0	0	0	0	0.23	0.24	0	0.56	0	0	0.38	0.12	0.49	0.25
ENSRNOG00000000007	0	0	0	0	0	0.05	0	0	0	0	0.17	0	0	0.05	0	0.03
ENSRNOG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
ENSRNOG00000000009	0	0	0	0	0.13	0.13	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000010	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0
ENSRNOG00000000012	0.56	0.5	0.54	1.05	0.76	1.81	0.18	0.74	0.36	0.88	0.49	0.55	0.2	0.56	0	0.13
ENSRNOG00000000017	16.52	11.68	12.89	17.73	31.8	28.82	44.01	45	17.4	21.85	14.51	19.32	26.94	53.48	33.25	27.98
ENSRNOG00000000021	9.17	8.04	9.65	6.55	17.73	20.02	14.05	16.69	10	17.36	11.39	10.9	13.41	14.82	16.1	16.4
ENSRNOG00000000024	15.32	10.48	8.69	15.81	22.22	22.01	26.38	29.7	8.85	13.06	8.99	15.59	21.9	21.78	22.77	21.23
ENSRNOG00000000033	1.33	0.96	1	0.6	1.48	1.89	1.38	1.98	1.43	1.6	1.27	0.68	1.66	3.14	1.32	0.55
ENSRNOG00000000034	86.05	42.04	40.38	44.33	55.82	50.36	89.57	62.57	77.76	80.03	70.95	69.9	68.77	90.16	76.8	88.2
ENSRNOG00000000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000036	4.23	3.55	4.83	4.42	9.81	6.29	17.55	9.94	7.16	5.72	6.85	6.03	7.76	8.54	10.93	10.33
ENSRNOG00000000040	5.41	4.26	4.79	5.58	10.32	8.64	8.83	11.94	8.03	6.37	5.98	5.84	10.83	10.08	8.87	8.37
ENSRNOG00000000041	68.81	69.64	70.32	75.57	73.94	55.74	31.91	64.26	74	80.29	65.42	72.02	76.78	76.46	73.25	69.84
ENSRNOG00000000042	11.27	8.02	10.12	13.7	13.65	10.73	5.59	11.68	12.55	17.93	8.22	8.73	13.76	15.39	12.92	15.16
ENSRNOG00000000043	8.02	7.67	7.65	9.08	13.75	15.04	14.4	15.17	8.58	12.33	7.06	9.14	11.32	16.55	13.79	13.9
ENSRNOG00000000044	8.69	6.26	8.88	10.1	13.48	13.21	8.96	8.74	9.89	11.71	9.77	10.07	10.15	10.3	8.67	10.85
ENSRNOG00000000047	100.03	92.75	99.34	103.45	155.43	124.54	215.3	152.29	118.02	119.38	103.89	111.77	157.79	157.42	157.76	177.23
ENSRNOG00000000048	29.95	24.4	25.88	31.05	38.91	31.92	27.9	32.95	30.77	37.78	25.2	27.22	36.56	37.27	35.46	33.92
ENSRNOG00000000053	0	0.13	0	0	0	0.05	0	0.05	0	0	0.3	0	0.05	0	0.17	0.48
ENSRNOG00000000054	24.34	13.61	13.78	13.91	14.39	20.02	18.74	18.9	19.31	16.84	18.86	19.39	12.07	14.48	15.42	19.04
ENSRNOG00000000055	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0
ENSRNOG00000000060	0.15	0.27	0.07	0.27	0.08	0.16	0.36	0.66	0.07	0.28	0.38	0.22	0	0.15	0.23	0.31
ENSRNOG00000000062	6.97	5.9	7.01	8.36	12.04	11.31	8.5	11.23	8.55	11.96	5.09	5.49	8.9	14.4	8.44	8.79
ENSRNOG00000000064	2290.92	2024.08	2012.99	1922.28	1992.46	1808.61	1671.48	2060.75	2113.6	2231.91	1927.96	1999.3	1333.5	1810.93	1709.49	1961.38
ENSRNOG00000000065	0	0	0	0	0	0.06	0	0.27	0.05	0	0	0	0.06	0.11	0.06	0.08
ENSRNOG00000000066	14.76	10.57	8.5	13.28	16.24	16.15	12.13	16.94	11	13.22	12.46	9.52	15.38	15.45	17.43	14.42
ENSRNOG00000000068	58.77	61.24	53.26	65.36	66.03	71.71	71.34	76.9	57.74	65.42	52.84	59.67	86.25	71.89	82.53	81.76
ENSRNOG00000000070	10.19	6.21	5.73	10.95	9.89	10.06	7.27	13.56	13.42	8.89	12.24	5.11	15.53	13.17	13.17	17.23
ENSRNOG00000000073	1.65	4.65	6.96	6.97	10.73	12.03	7.62	11.69	8.07	8.39	3.09	3.44	14.66	9.53	9.05	7.03
ENSRNOG00000000075	2.95	2.85	2.76	3.6	7	5.7	6.42	4.39	2.61	3.18	4.27	3.75	7.59	7.18	5.5	5.52
ENSRNOG00000000081	2.5	1.55	0.65	2.55	4.72	4.14	4	5.1	3.24	5.05	1.79	1.46	6.3	6.08	6.97	3.65
ENSRNOG00000000082	3.84	3.84	5.77	4.41	11.52	11.39	7.05	9.42	5.92	5.4	3.76	4.01	12.06	9.77	7.67	8.54
ENSRNOG00000000091	0	0.09	0.05	0.03	0.32	0.14	0	0.07	0.37	0.07	0.15	0.15	0.19	0	0.22	0.2
ENSRNOG00000000095	15.05	19.31	18.78	21.3	28.92	23.47	21.21	26.89	20.09	18.22	14.76	19.02	34.05	28.65	26.07	29.05
ENSRNOG00000000096	747.23	605.22	617.94	673.72	437.18	429.28	216.35	445.76	608.95	739.62	555.7	627.58	423.77	467.66	538.22	519.8
ENSRNOG00000000097	0	0.71	3.27	0.43	5.92	0	1.54	2.72	7.55	3.48	2.45	2.67	0	0	0	0.56
ENSRNOG00000000098	25.9	21.14	22.72	27.67	27.43	30.63	29.04	32.05	24.41	26.36	20.55	22.36	30.05	35.07	33.4	28.5
ENSRNOG00000000104	11.51	14.23	11.7	14.21	16.98	17.8	17.05	15.11	15.47	12.27	11.69	12.75	19.13	18.51	17.26	17.63
ENSRNOG00000000105	2.6	3.11	2.61	2.87	8.01	6.12	6.02	4.09	3.7	4.97	2.33	3.1	5.51	8.28	5.81	4.94
ENSRNOG00000000108	56.98	47.04	56.17	57.28	62.9	66.33	37.04	58.29	51.24	68.52	47.47	54.37	56.07	62.66	59.94	55.44
ENSRNOG00000000109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000111	67.31	71.7	70.54	48.58	58.5	57.85	57.21	50.24	62.59	81.28	70.63	61.04	60.64	60.23	63.26	55.5
ENSRNOG00000000112	6.1	7.17	7.36	7.17	9.42	7.57	9.64	8.42	7.02	9.12	6.98	8.44	8.16	10.63	7.02	9.11
ENSRNOG00000000113	1.29	1.51	1.28	1.65	2.53	2.56	1.68	1.39	1.58	1.87	1.64	1.16	1.5	3.19	2.14	1.88
ENSRNOG00000000121	7.6	5.7	2.93	4.58	5.1	8.46	6.31	5.01	5.9	6.98	6.03	4.9	4.42	6.75	6.26	5.05
ENSRNOG00000000122	184.08	153.84	202.43	164.23	124.96	192.16	114.25	127.5	173.26	152.39	156.24	141.54	221.79	176.53	139.85	138.68
ENSRNOG00000000123	7.88	8.69	10.78	9.1	18.51	16.56	14.39	14.3	10.09	12.31	9.88	9.81	13.82	15.77	20.53	14.46
