Samples	title	treatment
RK10.3	Control4_BulkRNAseq	Control
RK11.3	Control1_BulkRNAseq	Control
RK12.2	Control2_BulkRNAseq	Control
RK12.3	Control3_BulkRNAseq	Control
RK7.1	DOCA1_BulkRNAseq	DOCA
RK7.2	DOCA2_BulkRNAseq	DOCA
RK8.1	DOCA4_BulkRNAseq	DOCA
RK8.2	DOCA3_BulkRNAseq	DOCA
RK2.1	Finerenone1_BulkRNAseq	DOCA + Finerenone
RK2.2	Finerenone3_BulkRNAseq	DOCA + Finerenone
RK3.1	Finerenone2_BulkRNAseq	DOCA + Finerenone
RK3.2	Finerenone4_BulkRNAseq	DOCA + Finerenone
RK4.1	Spironolactone1_BulkRNAseq	DOCA + Spironolactone
RK4.2	Spironolactone2_BulkRNAseq	DOCA + Spironolactone
RK6.1	Spironolactone3_BulkRNAseq	DOCA + Spironolactone
RK6.2	Spironolactone4_BulkRNAseq	DOCA + Spironolactone
