	Furo1	Furo2	Furo3	Control1	Control2	Control3
ENSRNOG00000000001	5	4	3	3	6	9
ENSRNOG00000000007	9244	8968	10193	9292	9548	8913
ENSRNOG00000000008	3	4	3	1	2	2
ENSRNOG00000000009	1	2	1	1	1	2
ENSRNOG00000000010	1975	1761	1731	1830	1751	1584
ENSRNOG00000000012	39	42	30	42	32	21
ENSRNOG00000000017	12	10	14	15	11	20
ENSRNOG00000000021	528	498	531	472	437	406
ENSRNOG00000000024	290	268	292	245	284	297
ENSRNOG00000000033	4557	4429	4462	4522	4312	4108
ENSRNOG00000000034	71	48	55	53	56	61
ENSRNOG00000000035	2	1	0	1	2	0
ENSRNOG00000000036	593	628	670	666	590	645
ENSRNOG00000000040	88	103	82	81	80	77
ENSRNOG00000000041	155	144	160	174	152	179
ENSRNOG00000000042	2120	1824	2128	1847	2009	1909
ENSRNOG00000000043	1843	1713	1886	1771	1958	1752
ENSRNOG00000000044	1539	1454	1538	1431	1429	1431
ENSRNOG00000000047	1005	936	1058	980	966	881
ENSRNOG00000000048	2843	2713	2836	2663	2720	2646
ENSRNOG00000000053	1	4	2	4	2	4
ENSRNOG00000000054	6306	6372	6164	6324	6144	5841
ENSRNOG00000000055	1	0	0	0	0	1
ENSRNOG00000000060	7561	6983	8063	7714	7323	7027
ENSRNOG00000000062	499	495	516	476	521	450
ENSRNOG00000000064	1825	1934	1796	1743	1784	1750
ENSRNOG00000000065	28	16	24	11	42	28
ENSRNOG00000000066	612	584	636	590	590	577
ENSRNOG00000000068	811	792	818	790	681	711
ENSRNOG00000000070	457	446	425	417	412	387
ENSRNOG00000000073	299	264	300	278	296	291
ENSRNOG00000000075	494	447	454	411	417	461
ENSRNOG00000000081	101	110	110	131	119	106
ENSRNOG00000000082	1053	1063	935	982	1088	940
ENSRNOG00000000091	197	201	202	191	212	184
ENSRNOG00000000095	1090	1021	1038	1047	1009	1028
ENSRNOG00000000096	474	490	529	460	473	454
ENSRNOG00000000097	2	1	1	1	2	3
ENSRNOG00000000098	1538	1584	1428	1463	1493	1375
ENSRNOG00000000104	712	719	799	730	802	707
ENSRNOG00000000105	5074	4844	5112	4776	4975	4774
ENSRNOG00000000108	541	487	479	426	442	408
ENSRNOG00000000109	0	0	0	1	0	0
ENSRNOG00000000111	1671	1554	1641	1760	1652	1523
ENSRNOG00000000112	1260	1189	1209	1145	1117	1053
ENSRNOG00000000113	799	844	868	794	791	792
ENSRNOG00000000121	190	177	183	174	197	177
ENSRNOG00000000122	224	230	217	206	202	170
ENSRNOG00000000123	825	818	961	865	837	811
ENSRNOG00000000124	0	0	1	0	1	0
ENSRNOG00000000127	2733	2710	2974	2756	2720	2568
ENSRNOG00000000129	1293	1402	1359	1343	1355	1269
ENSRNOG00000000130	1041	1049	1035	1028	1036	994
ENSRNOG00000000133	2456	2440	2568	2569	2470	2372
ENSRNOG00000000137	25	37	30	24	25	35
ENSRNOG00000000138	17	25	29	16	37	22
ENSRNOG00000000142	1285	1392	1384	1260	1359	1216
ENSRNOG00000000145	1041	876	1018	1060	938	929
ENSRNOG00000000150	198	201	201	226	235	194
ENSRNOG00000000151	113	114	141	126	132	118
ENSRNOG00000000155	813	771	763	766	764	679
ENSRNOG00000000156	103	102	107	99	73	121
ENSRNOG00000000157	2365	2282	2125	2154	2107	2043
ENSRNOG00000000158	732	765	739	751	715	671
ENSRNOG00000000161	395	411	337	394	446	411
ENSRNOG00000000164	2056	1732	1732	1705	1837	1716
ENSRNOG00000000165	13	6	4	9	6	4
ENSRNOG00000000166	169	156	145	142	163	142
ENSRNOG00000000167	34	21	17	35	13	20
ENSRNOG00000000168	2926	2684	2688	2849	2773	2571
ENSRNOG00000000169	163	133	169	156	147	132
ENSRNOG00000000170	1371	1339	1274	1151	1285	1236
ENSRNOG00000000172	282	235	206	205	203	210
