Symbol	MMF_2_14_norm
0610005C13Rik	12.28586237
0610007P14Rik	10.31222091
0610009B22Rik	9.898794459
0610009L18Rik	6.635760053
0610009O20Rik	11.29845386
0610010B08Rik	7.135833656
0610010F05Rik	10.14852873
0610010K14Rik	7.989963277
0610011F06Rik	11.1885938
0610012G03Rik	10.22586586
0610030E20Rik	11.11565577
0610031J06Rik	11.88477189
0610037L13Rik	9.143101657
0610040F04Rik	7.187585944
0610040J01Rik	10.94838374
0610043K17Rik	5.635760053
1100001G20Rik	6.635760053
1110001J03Rik	10.72079616
1110002L01Rik	6.735295727
1110004E09Rik	10.29601068
1110004F10Rik	11.94058396
1110007C09Rik	9.706149381
1110008F13Rik	10.45921828
1110008L16Rik	10.01427168
1110008P14Rik	8.395220285
1110012L19Rik	9.460673346
1110032A03Rik	10.60055472
1110032F04Rik	3.676402038
1110034G24Rik	7.437214374
1110037F02Rik	10.84186739
1110038B12Rik	9.357942138
1110038F14Rik	9.171812953
1110051M20Rik	9.268028269
1110054M08Rik	8.128528856
1110057K04Rik	9.829846659
1110058L19Rik	9.033954042
1110059E24Rik	10.12302588
1110059G10Rik	9.612385545
1110065P20Rik	8.234397491
1190002N15Rik	9.407343844
1190007I07Rik	7.145783634
1200014J11Rik	10.80109779
1300002E11Rik	8.851134808
1300002K09Rik	10.71349136
1300017J02Rik	6.735295727
1500004A13Rik	8.588626077
1500009L16Rik	4.828405131
1500011B03Rik	9.769344485
1500011K16Rik	9.310608057
1500012F01Rik	11.14581774
1500015A07Rik	8.045635847
1600002H07Rik	7.924329551
1600002K03Rik	7.030038992
1600014C10Rik	11.4088362
1600016N20Rik	7.932741791
1600020E01Rik	8.883607634
1700001L05Rik	7.274661361
1700001O22Rik	5.898612679
1700003E16Rik	7.206916754
1700003G13Rik	6.615001493
1700003H04Rik	5.864029041
1700003M02Rik	8.022176874
1700007F19Rik	6.030038992
1700007J10Rik	7.472261321
1700007L15Rik	6.593939877
1700008J07Rik	7.810257784
1700010I14Rik	5.864029041
1700011H14Rik	12.39445917
1700013H16Rik	9.881516467
1700016C15Rik	8.43128954
1700017B05Rik	9.74965102
1700017D01Rik	8.307376936
1700018F24Rik	7.33936705
1700018L02Rik	7.030038992
1700019G17Rik	7.230276965
1700019L03Rik	6.75440455
1700020I14Rik	10.66255402
1700021F05Rik	9.132185879
1700021K19Rik	10.00032
1700024P16Rik	9.237613962
1700025G04Rik	9.064897749
1700025N23Rik	6.791879255
1700028J19Rik	8.326655999
1700029J07Rik	8.199963994
1700030J22Rik	5.413367632
1700030K09Rik	8.725645557
1700034H15Rik	7.506477036
1700037C18Rik	8.192977563
1700037H04Rik	9.520497506
1700040L02Rik	9.182434069
1700047E10Rik	6.656224156
1700049G17Rik	8.320258227
1700052K11Rik	9.466478968
1700052N19Rik	8.796495883
1700055N04Rik	5.965908655
1700063D05Rik	4.828405131
1700066M21Rik	8.241186656
1700067K01Rik	6.206916754
1700067P10Rik	6.506477036
1700071K01Rik	9.392173409
1700073E17Rik	10.52606776
1700084J12Rik	7.846327039
1700088E04Rik	8.220722554
1700091H14Rik	4.593939877
1700094D03Rik	8.199963994
1700096K18Rik	7.763864879
1700097N02Rik	6.735295727
1700101I11Rik	6.881516467
1700112E06Rik	8.832906523
1700113A16Rik	8.810257784
1700123O12Rik	7.091439537
1700123O20Rik	10.35039809
1810009A15Rik	9.17159849
1810010H24Rik	7.725645557
1810011H11Rik	4.965908655
1810011O10Rik	10.78724781
1810013L24Rik	11.30980096
1810014B01Rik	8.164688519
1810019D21Rik	9.96620899
1810021B22Rik	7.696301595
1810022K09Rik	10.12118688
1810026B05Rik	10.26136454
1810026J23Rik	11.52676254
1810030O07Rik	10.33778428
1810032O08Rik	9.152924212
1810034E14Rik	6.030038992
1810037I17Rik	10.64730681
1810041L15Rik	6.810257784
1810043G02Rik	10.34568082
1810043H04Rik	9.098934073
1810044D09Rik	7.460673346
1810055G02Rik	8.720796157
1810058I24Rik	10.68507691
1810065E05Rik	5.150333226
2010001E11Rik	6.178902378
2010002M12Rik	6.234397491
2010003K11Rik	6.932741791
2010012O05Rik	9.102666792
2010015L04Rik	7.598178421
2010107E04Rik	11.94266803
2010107G12Rik	6.915867972
2010107G23Rik	8.389120085
2010111I01Rik	8.718793636
2010300C02Rik	7.646028389
2010315B03Rik	10.16761357
2010320M18Rik	7.965908655
2200002D01Rik	7.715930402
2210011C24Rik	7.819359991
2210013O21Rik	8.419366372
2210015D19Rik	9.139472233
2210016F16Rik	10.54539603
2210016L21Rik	10.35666387
2210018M11Rik	9.761505606
2210039B01Rik	6.773263577
2210404O09Rik	7.801097785
2210408F21Rik	6.202664648
2210408I21Rik	8.567172968
2300009A05Rik	8.523285324
2310001H17Rik	9.235210195
2310003H01Rik	8.898794459
2310007B03Rik	7.799222403
2310009A05Rik	7.495161723
2310009B15Rik	7.615001493
2310010J17Rik	7.803814288
2310011J03Rik	10.07062653
2310014L17Rik	6.773263577
2310015A10Rik	8.877164443
2310022A10Rik	7.863116588
2310022B05Rik	11.48875764
2310030G06Rik	10.1806693
2310033P09Rik	8.87279925
2310035C23Rik	11.19468257
2310036O22Rik	11.30737694
2310039H08Rik	9.620219202
2310045N01Rik	9.472261321
2310047M10Rik	9.539900038
2310057J18Rik	8.345680824
2310057M21Rik	8.28783675
2310061I04Rik	10.57927957
2310061J03Rik	7.413367632
2310067B10Rik	11.97510108
2410002F23Rik	10.92643721
2410004B18Rik	8.437214374
2410004N09Rik	9.306498815
2410006H16Rik	10.16468852
2410015M20Rik	11.88097318
2410016O06Rik	8.506477036
2410017I17Rik	6.506477036
2410089E03Rik	10.30251664
2410127L17Rik	10.2580211
2410131K14Rik	9.70860086
2500004C02Rik	7.413367632
2510002D24Rik	9.617612706
2510003E04Rik	10.66634837
2510009E07Rik	10.29763992
2510039O18Rik	11.6745223
2510049J12Rik	8.395220285
2610001J05Rik	10.60845271
2610002J02Rik	9.341850105
2610002M06Rik	9.828405131
2610005L07Rik	10.83851358
2610008E11Rik	10.60845271
2610015P09Rik	8.9862573
2610018G03Rik	7.744881775
2610020H08Rik	8.258017212
