Symbol	Vehicle_2_17_norm
0610005C13Rik	12.1342871
0610007P14Rik	10.53295392
0610009B22Rik	10.18007289
0610009L18Rik	6.411691035
0610009O20Rik	11.31354855
0610010B08Rik	7.485153197
0610010F05Rik	9.919249032
0610010K14Rik	8.177222054
0610011F06Rik	11.89586765
0610012G03Rik	10.72606291
0610030E20Rik	10.94644396
0610031J06Rik	12.8284098
0610037L13Rik	9.656214626
0610040F04Rik	7.56717075
0610040J01Rik	11.06070585
0610043K17Rik	7.100489346
1100001G20Rik	6.322881768
1110001J03Rik	10.3300203
1110002L01Rik	7.264465082
1110004E09Rik	10.11213075
1110004F10Rik	11.25699383
1110007C09Rik	9.69874867
1110008F13Rik	10.43571426
1110008L16Rik	9.667529939
1110008P14Rik	9.720641276
1110012L19Rik	9.178491858
1110032A03Rik	10.11378617
1110032F04Rik	6.930564345
1110034G24Rik	8.025081944
1110037F02Rik	10.9722235
1110038B12Rik	8.13446377
1110038F14Rik	9.729306137
1110051M20Rik	9.3568291
1110054M08Rik	7.996653535
1110057K04Rik	10.15184766
1110058L19Rik	9.579221521
1110059E24Rik	9.807081292
1110059G10Rik	9.187952188
1110065P20Rik	8.612388385
1190002N15Rik	9.414380122
1190007I07Rik	8.261720732
1200014J11Rik	10.50041995
1300002E11Rik	9.146791797
1300002K09Rik	10.29834309
1300017J02Rik	6.945514686
1500004A13Rik	7.433064686
1500009L16Rik	5.737919267
1500011B03Rik	8.781037036
1500011K16Rik	9.909751334
1500012F01Rik	9.51301999
1500015A07Rik	7.55505521
1600002H07Rik	7.967653664
1600002K03Rik	7.746481281
1600014C10Rik	11.45445263
1600016N20Rik	8.165780807
1600020E01Rik	8.735192197
1700001L05Rik	7.996653535
1700001O22Rik	6.640909421
1700003E16Rik	7.535426403
1700003G13Rik	6.574420535
1700003H04Rik	6.203582839
1700003M02Rik	8.080311464
1700007F19Rik	5.805033463
1700007J10Rik	6.989458034
1700007L15Rik	6.018027186
1700008J07Rik	8.438358985
1700010I14Rik	6.073522299
1700011H14Rik	12.35122639
