Symbol	Predisone_2_35_norm
0610005C13Rik	12.48479866
0610007P14Rik	10.66762305
0610009B22Rik	10.16552882
0610009L18Rik	7.090437901
0610009O20Rik	11.46827814
0610010B08Rik	7.651941429
0610010F05Rik	10.19828773
0610010K14Rik	8.057063763
0610011F06Rik	11.6460166
0610012G03Rik	10.49269356
0610030E20Rik	11.17310204
0610031J06Rik	12.35994167
0610037L13Rik	9.257775108
0610040F04Rik	7.323489664
0610040J01Rik	11.21772503
0610043K17Rik	5.864162046
1100001G20Rik	6.136241591
1110001J03Rik	10.72308138
1110002L01Rik	7.275792943
1110004E09Rik	10.39951079
1110004F10Rik	11.66518401
1110007C09Rik	10.01582484
1110008F13Rik	10.59772104
1110008L16Rik	9.675400402
1110008P14Rik	9.116381169
1110012L19Rik	9.686988376
1110032A03Rik	10.50583894
1110032F04Rik	2.721204092
1110034G24Rik	7.956420553
1110037F02Rik	10.80335313
1110038B12Rik	9.032884481
1110038F14Rik	9.40536827
1110051M20Rik	9.517784542
1110054M08Rik	8.398336436
1110057K04Rik	10.12053102
1110058L19Rik	9.323593664
1110059E24Rik	9.853918014
1110059G10Rik	9.166908727
1110065P20Rik	8.690830443
1190002N15Rik	9.487180773
1190007I07Rik	7.845526444
1200014J11Rik	10.73522456
1300002E11Rik	9.116038834
1300002K09Rik	10.92414415
1300017J02Rik	6.528559014
1500004A13Rik	8.17516058
1500009L16Rik	5.090437901
1500011B03Rik	9.675024994
1500011K16Rik	9.355410111
1500012F01Rik	10.44798991
1500015A07Rik	8.119235166
1600002H07Rik	8.090437901
1600002K03Rik	7.579185087
1600014C10Rik	11.46126456
1600016N20Rik	8.393629434
1600020E01Rik	8.897758355
1700001L05Rik	7.950022782
1700001O22Rik	6.221263412
1700003E16Rik	7.864162046
1700003G13Rik	6.611975022
1700003H04Rik	5.917601304
1700003M02Rik	7.962790078
1700007F19Rik	5.721204092
1700007J10Rik	7.296112928
1700007L15Rik	6.365060281
1700008J07Rik	8.43086234
1700010I14Rik	5.750951435
1700011H14Rik	12.4937936
1700013H16Rik	9.075820805
1700016C15Rik	9.381794297
1700017B05Rik	10.06845634
1700017D01Rik	7.81572169
1700018F24Rik	7.090437901
1700018L02Rik	6.750951435
1700019G17Rik	7.50983982
1700019L03Rik	6.822742118
1700020I14Rik	10.38761137
1700021F05Rik	9.268098552
1700021K19Rik	10.63906483
1700024P16Rik	9.739390933
1700025G04Rik	9.116381169
1700025N23Rik	7.113521514
1700028J19Rik	8.59567321
1700029J07Rik	8.88778565
1700030J22Rik	6.42164381
1700030K09Rik	8.636087478
1700034H15Rik	8.07287953
1700037C18Rik	8.498185365
1700037H04Rik	9.803353133
1700040L02Rik	9.587452703
