Symbol	Vehicle_2_36_norm
0610005C13Rik	10.70581789
0610007P14Rik	10.69869344
0610009B22Rik	9.969468682
0610009L18Rik	6.389323198
0610009O20Rik	10.87989333
0610010B08Rik	7.595132735
0610010F05Rik	10.29877631
0610010K14Rik	8.166507984
0610011F06Rik	11.48412227
0610012G03Rik	10.56670951
0610030E20Rik	10.88074877
0610031J06Rik	13.00619056
0610037L13Rik	9.876466497
0610040F04Rik	6.722322734
0610040J01Rik	11.72798531
0610043K17Rik	6.310251627
1100001G20Rik	6.18287232
1110001J03Rik	9.621983954
1110002L01Rik	7.30005586
1110004E09Rik	9.990227242
1110004F10Rik	11.67373862
1110007C09Rik	10.20899138
1110008F13Rik	10.14492297
1110008L16Rik	9.634210257
1110008P14Rik	10.27424667
1110012L19Rik	9.389323198
1110032A03Rik	9.739820445
1110032F04Rik	6.330429509
1110034G24Rik	8.199423496
1110037F02Rik	11.07787659
1110038B12Rik	9.217253511
1110038F14Rik	9.907018828
1110051M20Rik	9.695779884
1110054M08Rik	7.684066463
1110057K04Rik	10.00988789
1110058L19Rik	9.307709432
1110059E24Rik	10.01225355
1110059G10Rik	9.315322616
1110065P20Rik	8.582569273
1190002N15Rik	9.45282614
1190007I07Rik	7.686128443
1200014J11Rik	10.50369022
1300002E11Rik	9.151288148
1300002K09Rik	11.5366299
1300017J02Rik	6.603448003
1500004A13Rik	7.941864221
1500009L16Rik	6.954920374
1500011B03Rik	9.019362797
1500011K16Rik	9.50701824
1500012F01Rik	10.49701107
1500015A07Rik	7.455125256
1600002H07Rik	8.284625819
1600002K03Rik	7.752961544
1600014C10Rik	11.17939996
1600016N20Rik	8.289787524
1600020E01Rik	8.24525173
1700001L05Rik	7.668299147
1700001O22Rik	6.200654682
1700003E16Rik	7.408432021
1700003G13Rik	6.043147557
1700003H04Rik	6.847005034
1700003M02Rik	7.789861127
1700007F19Rik	5.652357603
1700007J10Rik	7.067395103
1700007L15Rik	5.993394521
1700008J07Rik	7.941864221
1700010I14Rik	6.636237938
1700011H14Rik	12.17452498
1700013H16Rik	8.59929636
1700016C15Rik	9.994975557
1700017B05Rik	11.10008372
1700017D01Rik	6.847005034
1700018F24Rik	7.247967348
1700018L02Rik	5.160504507
1700019G17Rik	7.549825435
1700019L03Rik	7.226593698
1700020I14Rik	10.17865572
1700021F05Rik	9.548521793
1700021K19Rik	10.86828978
1700024P16Rik	9.41782216
1700025G04Rik	9.342898861
1700025N23Rik	5.967859429
1700028J19Rik	7.684066463
1700029J07Rik	7.767834821
1700030J22Rik	7.005994558
1700030K09Rik	8.468843537
1700034H15Rik	7.114700818
1700037C18Rik	7.961404407
1700037H04Rik	10.3893232
1700040L02Rik	8.730360115
1700047E10Rik	6.967859429
1700049G17Rik	8.586769262
1700052K11Rik	8.918727722
1700052N19Rik	9.27944558
1700055N04Rik	6.043147557
1700063D05Rik	6.745467008
1700066M21Rik	9.21849623
1700067K01Rik	6.114700818
1700067P10Rik	6.091241845
1700071K01Rik	9.120506439
1700073E17Rik	10.25061693
1700084J12Rik	7.974285698
1700088E04Rik	8.210353057
1700091H14Rik	7.103019013
1700094D03Rik	8.691885968
1700096K18Rik	6.760417349
1700097N02Rik	5.967859429
1700101I11Rik	5.408432021
1700112E06Rik	9.504800415
1700113A16Rik	8.850502479
1700123O12Rik	7.41789235
1700123O20Rik	10.53879936
1810009A15Rik	9.426863195
1810010H24Rik	6.269028964
1810011H11Rik	7.691885968
1810011O10Rik	9.948407067
1810013L24Rik	11.68063206
1810014B01Rik	8.154857944
1810019D21Rik	8.618551539
1810021B22Rik	7.237320104
1810022K09Rik	10.37117585
1810026B05Rik	9.30516275
1810026J23Rik	11.14918919
1810030O07Rik	10.66234169
1810032O08Rik	7.848995069
1810034E14Rik	6.330429509
1810037I17Rik	11.07936774
1810041L15Rik	7.05532227
1810043G02Rik	9.867863639
1810043H04Rik	9.103019013
1810044D09Rik	6.518056512
1810055G02Rik	9.459712526
1810058I24Rik	11.46173547
1810065E05Rik	4.482432602
2010001E11Rik	8.522448281
2010002M12Rik	5.967859429
2010003K11Rik	6.860944225
2010012O05Rik	9.221200439
2010015L04Rik	7.271033707
2010107E04Rik	11.60551935
2010107G12Rik	7.518056512
2010107G23Rik	8.586769262
2010111I01Rik	8.594767465
2010300C02Rik	6.464285255
2010315B03Rik	9.695124353
2010320M18Rik	8.355261362
2200002D01Rik	10.48130506
2210011C24Rik	8.548521793
2210013O21Rik	9.009127448
2210015D19Rik	9.396518699
2210016F16Rik	11.01303402
2210016L21Rik	11.15768399
2210018M11Rik	10.04620088
2210039B01Rik	6.586769262
2210404O09Rik	7.993394521
2210408F21Rik	6.816560571
2210408I21Rik	8.660350394
2300009A05Rik	8.464285255
2310001H17Rik	9.324340687
2310003H01Rik	10.0184855
2310007B03Rik	7.651800793
2310009A05Rik	8.263792316
2310009B15Rik	7.535543939
2310010J17Rik	6.267664068
2310011J03Rik	10.61274575
2310014L17Rik	6.50035451
2310015A10Rik	8.687981513
2310022A10Rik	7.938802438
2310022B05Rik	11.59304641
2310030G06Rik	10.28462582
2310033P09Rik	9.134919097
2310035C23Rik	10.66380246
2310036O22Rik	11.55764431
2310039H08Rik	9.123400513
2310045N01Rik	9.850502479
2310047M10Rik	9.372392802
2310057J18Rik	7.676204345
2310057M21Rik	8.41316994
2310061I04Rik	10.62709084
2310061J03Rik	6.775214351
2310067B10Rik	12.06099399
2410002F23Rik	10.52354414
2410004B18Rik	9.030869227
2410004N09Rik	7.982545304
2410006H16Rik	10.17731279
2410015M20Rik	11.5064641
2410016O06Rik	8.935291567
2410017I17Rik	7.804360697
2410089E03Rik	10.48580996
2410127L17Rik	10.27424667
2410131K14Rik	9.143498082
2500004C02Rik	7.436628912
2510002D24Rik	9.795315557
2510003E04Rik	10.9532948
2510009E07Rik	10.9311684
2510039O18Rik	11.98586085
2510049J12Rik	9.25590153
2610001J05Rik	10.54744475
