0	0	0	1	1	1
Mark2	20.08	21.67	22.4	26.92	29.13	21.26
Rbfox3	0.34	0.69	0.35	0.51	0.13	0.43
Pard3b	2.21	2.34	1.96	2.47	2	1.98
Napg	10.94	11.29	11.62	9.88	13.08	11.81
Ifitm2	200.98	243.32	177.4	1220.11	223.93	271.94
Qprt	28.53	27.84	37.97	12.62	54.08	36.46
Onecut2	0	0.01	0	0.04	0.02	0
Cyb5b	100.83	85.79	137.01	53.51	93.64	104.19
Il6st	15.8	16.86	15.95	19.04	17.75	17.85
C7	1.26	4.61	1.64	2.87	2.32	4.8
Ssu72	38.84	38.53	42.72	60.37	44.96	46.56
2900093K20Rik	1.81	1.83	1.24	2.1	2.85	1.87
Ctu1	3.64	3.2	2.62	3.06	3.77	2.51
Stmn3	0	0.09	0.25	0.21	0	0
Tssc4	16.78	14.57	14.75	21.5	16.47	14.21
Nes	5.68	3.91	4.41	10.57	5.96	4.66
Csnk1a1	56.88	49.15	44.47	61.18	56.21	47.17
Cyp4f37	0	0	0	0	0.03	0
Tnpo2	8.83	9.84	8.05	9.45	11.13	7.6
Traf1	1.21	1.86	1.28	13.5	2.12	0.67
Armc12	0.57	0.55	1.11	0.79	2.52	3.86
Slc30a1	11.98	11.73	13.46	8.25	11.11	11.5
Osmr	1.76	4.66	1.82	14.71	8.27	5.42
Gm5861	0	0	0	0.14	0	0
B3galt4	1.13	1.67	1.36	4.42	3.12	1.98
Filip1l	6.39	6.38	5.63	13.45	8.15	4.92
Brd1	13.34	12.31	11.56	11.57	12.57	11
LOC102634581	0	0.19	0	1.18	0.19	0
Tusc1	3.23	4.57	5.94	5.19	5.13	5.3
Adra2a	0.86	0.72	0.99	0.64	0.97	0.38
Bace1	8.57	7.07	5.91	3.84	3.58	4.57
Gabrb1	0.13	0.11	0.06	0.2	0.06	0.09
Soat1	3.23	2.94	2.91	10.96	6.47	3.55
Tcf7l2	3.09	4.89	4.31	4.84	4.63	3.73
Zcchc10	6.67	7.16	4.83	8.35	6.13	6.44
Plbd2	28.89	32.11	32.36	33.21	26.11	28.68
Clec18a	0.14	0.26	0.29	1.14	3.41	0.18
Serpind1	0	0.23	0.12	0.35	0.07	0.16
Tmem145	0.31	0.16	0.06	0.06	0.29	0.25
Slc9b2	0.08	0	0	1.8	0.04	0
Mtfr2	0.57	0.2	0.04	0.83	0.29	0.18
Xpot	18.26	14.05	15.08	11.01	10.05	13.25
Pias1	8.11	8.48	8.36	9.94	8.09	7.57
Alox5ap	4.2	7.78	3.39	390.85	25.15	7.91
Gm1123	0.45	0.37	0.48	0.06	0.17	0.26
Orc5	10.81	14.33	13.84	10.07	13.68	11.55
Lmna	20.91	29.01	27.77	56.87	51.77	33.2
Klhl17	7.74	8.29	7.83	5.82	5.84	6.21
Trim75	0.29	0.37	0.31	0.09	0	0.06
Actl9	0	0.22	0.13	0.11	0	0.13
Rps23	669.4	875.55	801.3	1273.1	937.34	952.78
Lyar	9.37	13.76	9.54	12.47	10.72	8.76
D3Ertd254e	1.83	1.68	1.85	1.23	2.12	1.4
Mrpl52	143.5	164.08	172.35	282.71	184.71	182.16
Zfp317	4.53	5.6	4.75	4.28	4.94	3.93
Gm46592	0.04	0	0	0	0	0.02
Hmox2	81.61	89.34	94.88	107.64	74.9	74.19
Atrip	4.15	5.32	5.65	4.64	4.74	4.69
