0	0	0	1	1	1
LOC498225	9.426366	9.150423	8.769878	9.231582	9.393965	9.162435
Siat10	11.3570385	11.561137	11.4490595	11.9516325	11.714833	11.713597
Col10a1	5.5435386	5.902134	10.279376	5.7171507	8.854105	8.894899
Pelo	9.328451	9.786275	9.677564	9.587396	9.257975	9.5843725
Cip98	10.939352	10.828782	11.101245	10.786272	10.572755	10.566463
B3galt3	9.516758	10.208569	9.779043	10.056038	9.922391	10.102875
LOC498685	8.102798	8.147467	7.8224854	8.556952	8.434477	8.571842
Tmx2	9.849314	9.21007	9.446874	9.086878	9.059305	9.355715
Alpk1	14.237931	14.3278475	14.266569	14.15393	14.327682	14.237931
Tbc1d2b	9.802624	9.980838	9.8843775	9.662172	9.585631	9.21141
Wsb2	12.075445	12.573588	11.761566	11.920512	12.4781885	12.047051
U2af1l4	9.441899	9.659784	9.725039	9.469425	9.475424	9.529714
Lad1	10.891112	10.663859	10.725274	10.841082	10.785008	10.819371
Mrfap1	13.938582	13.609229	13.347546	13.561529	13.687625	13.533845
Ddx50	10.940383	10.910071	10.500173	10.958642	10.881795	10.908099
Sirt2	8.793516	8.853011	8.6451025	9.106285	8.702431	8.950043
RGD1563278	7.7514033	7.6698747	7.4724298	7.4916716	7.454468	7.72072
Mrps31	11.180611	10.807078	11.113642	10.7658615	10.801929	10.988874
Akt1	10.664718	10.765104	10.79945	10.864539	10.887713	10.77341
RGD1564875	5.998089	6.5066814	5.5271416	5.7634583	6.5839005	6.29247
Lactb2	11.705573	11.531342	11.517631	11.578335	11.11715	11.610629
Slc12a7	10.491124	10.568177	10.783443	10.3384695	10.351276	10.337107
Sephs2	11.832376	11.895751	11.52182	11.702264	11.89538	11.7442255
Ndufb5	12.834787	12.770625	12.557965	12.814173	0.6586129	12.872835
Snapap	10.096551	9.856576	10.159602	10.02425	9.72329	9.358942
RGD1559904	8.867746	8.982928	9.366353	9.034326	8.66817	8.72625
Supv3l1	9.234481	9.509083	9.148225	9.853042	9.41396	9.689515
Socs7	9.377793	9.260725	9.325377	9.076149	9.620964	9.150423
Rab6a	11.2006235	11.123283	10.790015	11.404838	11.294727	11.332839
RGD1307284	3.7946012	3.1089602	3.3604064	3.0813577	3.5201426	3.2808986
Mllt10	9.46189	9.872281	9.406086	10.005862	10.015011	9.874971
Foxd4	8.5090885	8.53253	8.465691	8.557687	8.651747	8.381626
Prkch	8.052501	8.236362	7.896051	8.300702	7.869488	7.9721303
Il16_mapped	8.644309	8.699932	8.232309	8.29233	8.312872	9.408282
RGD1311634	10.890138	10.569852	11.035035	10.460245	10.403531	10.465232
Pnutl2	12.372086	11.839447	11.865819	12.199845	12.2096	11.938069
Mrpl41	11.463754	11.603175	11.436979	11.802612	11.649424	11.582816
Neurl2	10.322667	10.358752	10.403118	9.543661	9.47992	9.650117
Phr1	9.366728	9.407656	9.365688	9.400965	9.170168	9.081138
