0	0	0	1	1	1
LOC498225	9.426366	9.150423	8.769878	9.760294	9.526503	9.680447
Siat10	11.3570385	11.561137	11.4490595	11.754057	11.443527	11.926413
Col10a1	5.5435386	5.902134	10.279376	6.3373566	10.220172	6.9865675
Pelo	9.328451	9.786275	9.677564	10.187551	9.783685	9.897517
Cip98	10.939352	10.828782	11.101245	10.192639	10.591954	10.138863
B3galt3	9.516758	10.208569	9.779043	11.461029	10.912099	11.490957
LOC498685	8.102798	8.147467	7.8224854	8.255782	7.661304	8.065676
Tmx2	9.849314	9.21007	9.446874	9.587629	9.152418	9.242371
Alpk1	14.237931	14.3278475	14.266569	13.846657	13.770982	13.824739
Tbc1d2b	9.802624	9.980838	9.8843775	9.428311	9.631958	9.439314
Wsb2	12.075445	12.573588	11.761566	11.820004	12.197456	11.837674
U2af1l4	9.441899	9.659784	9.725039	9.839437	9.326499	9.596683
Lad1	10.891112	10.663859	10.725274	10.632436	10.857834	10.721977
Mrfap1	13.938582	13.609229	13.347546	12.847334	13.112426	12.97713
Ddx50	10.940383	10.910071	10.500173	11.216103	10.79865	11.140417
Sirt2	8.793516	8.853011	8.6451025	8.935585	8.504043	8.693512
RGD1563278	7.7514033	7.6698747	7.4724298	7.9314117	7.7356386	8.296601
Mrps31	11.180611	10.807078	11.113642	10.931292	10.587673	10.626355
Akt1	10.664718	10.765104	10.79945	10.87639	11.424777	11.266702
RGD1564875	5.998089	6.5066814	5.5271416	6.2773724	6.4647436	6.3358946
Lactb2	11.705573	11.531342	11.517631	11.4556265	11.813066	11.049802
Slc12a7	10.491124	10.568177	10.783443	10.267855	10.368893	10.364172
Sephs2	11.832376	11.895751	11.52182	11.797572	11.816524	11.726376
Ndufb5	12.834787	12.770625	12.557965	12.647134	12.814277	12.431601
Snapap	10.096551	9.856576	10.159602	9.395385	9.783026	9.712271
RGD1559904	8.867746	8.982928	9.366353	8.471866	8.579776	8.495248
Supv3l1	9.234481	9.509083	9.148225	9.666291	9.388854	9.51936
Socs7	9.377793	9.260725	9.325377	9.186307	9.254177	9.526503
Rab6a	11.2006235	11.123283	10.790015	11.141562	11.423454	11.388124
RGD1307284	3.7946012	3.1089602	3.3604064	2.4156687	2.3435261	3.2442095
Mllt10	9.46189	9.872281	9.406086	10.190443	10.157372	10.291689
Foxd4	8.5090885	8.53253	8.465691	7.858617	8.199402	8.099487
Prkch	8.052501	8.236362	7.896051	7.5544066	7.806439	7.416172
Il16_mapped	8.644309	8.699932	8.232309	8.10113	7.9129252	7.8809505
RGD1311634	10.890138	10.569852	11.035035	10.074259	9.866998	9.971998
Pnutl2	12.372086	11.839447	11.865819	11.350613	11.305152	11.346779
Mrpl41	11.463754	11.603175	11.436979	11.794132	11.089513	11.303869
Neurl2	10.322667	10.358752	10.403118	9.544553	8.672872	8.854441
Phr1	9.366728	9.407656	9.365688	9.108526	9.790912	9.20279
Coq4	9.003402	9.081809	9.235746	9.181638	9.050191	9.311433
Asah1	10.351812	10.474936	10.668751	11.101797	10.710208	11.145037
Copz1	11.891972	11.772301	12.084453	10.8921	11.372462	11.283889
RGD1307129	10.019647	10.025822	9.663334	10.38835	10.751255	10.543071
Csnk2a1	5.4353294	3.6534715	5.733744	6.203471	5.786568	6.4147863
Arl6ip5	10.811787	10.524764	10.980883	11.525655	11.458324	11.882731
LOC619573	8.799115	8.66289	8.95552	8.660004	8.890712	8.916238
Ppp1r3c	8.404717	7.971275	8.464217	7.570032	8.335588	8.143442
Ap4s1	10.100082	10.197691	10.352345	10.250176	10.395454	10.368117
Med4	8.934183	8.8257885	8.743628	9.588912	9.357673	9.717432
Arf1	11.905275	11.957711	11.943588	11.973877	11.772301	11.699305
RGD1563087	10.55648	7.8978653	10.815509	8.670029	9.147749	8.520861
Rpe	8.940454	8.711334	9.29659	9.41727	9.329098	9.1895895
Dhtkd1	11.484127	11.674268	11.724046	10.797694	10.853938	10.6480665
RGD1564058	11.503477	11.574134	11.711256	11.430184	11.292645	11.426138
Zfp189	6.904333	6.8841376	6.689193	7.2271876	7.3359694	7.9943047
Dnajc15	10.047259	10.351812	10.207305	11.572717	11.293918	11.592955
Mettl7a	11.044432	10.487922	11.390749	10.194804	10.595357	10.2056875
C1qg	10.675312	10.364975	9.902348	10.275287	11.0122795	11.004823
Ube2q	10.343286	10.603085	10.186256	10.588565	10.456433	10.276034
RGD1306157	7.401844	7.1061416	7.667353	6.585662	6.6899447	6.5424876
Qser1	8.572577	8.75184	8.550618	9.16508	8.885867	9.391464
MGC109149	9.6293955	9.588272	9.694406	9.739592	9.7817335	10.154492
Zdhhc3	9.724596	9.332336	9.190133	8.386049	8.466763	8.509815
