0	0	0	1	1	1
LOC498225	9.426366	9.150423	8.769878	9.111823	8.990804	8.919672
Siat10	11.3570385	11.561137	11.4490595	11.658897	11.713475	11.59875
Col10a1	5.5435386	5.902134	10.279376	8.727728	4.838551	8.487199
Pelo	9.328451	9.786275	9.677564	9.76485	9.546915	10.114187
Cip98	10.939352	10.828782	11.101245	10.733859	10.972104	11.032488
B3galt3	9.516758	10.208569	9.779043	9.597969	10.151543	10.058302
LOC498685	8.102798	8.147467	7.8224854	8.502599	8.791768	7.5992455
Tmx2	9.849314	9.21007	9.446874	9.46189	9.14948	9.321298
Alpk1	14.237931	14.3278475	14.266569	14.237931	14.267749	14.12719
Tbc1d2b	9.802624	9.980838	9.8843775	9.02246	9.219045	9.008198
Wsb2	12.075445	12.573588	11.761566	12.2455015	11.8589735	11.918685
U2af1l4	9.441899	9.659784	9.725039	9.219988	9.247383	9.648163
Lad1	10.891112	10.663859	10.725274	10.452429	10.506407	10.3626
Mrfap1	13.938582	13.609229	13.347546	13.388627	13.471721	13.471823
Ddx50	10.940383	10.910071	10.500173	10.620309	10.892942	10.525579
Sirt2	8.793516	8.853011	8.6451025	9.109851	8.957901	8.813156
RGD1563278	7.7514033	7.6698747	7.4724298	7.5397305	8.119449	7.2004223
Mrps31	11.180611	10.807078	11.113642	10.965032	11.212416	11.026086
Akt1	10.664718	10.765104	10.79945	11.017601	10.902903	10.464435
RGD1564875	5.998089	6.5066814	5.5271416	6.1151705	6.0166764	5.5555167
Lactb2	11.705573	11.531342	11.517631	11.41026	11.189897	10.787349
Slc12a7	10.491124	10.568177	10.783443	10.373521	10.323237	10.338647
Sephs2	11.832376	11.895751	11.52182	11.7907295	11.71984	11.835881
Ndufb5	12.834787	12.770625	12.557965	12.597473	12.583673	13.026298
Snapap	10.096551	9.856576	10.159602	9.824899	9.083546	9.85324
RGD1559904	8.867746	8.982928	9.366353	8.995221	8.809317	8.75399
Supv3l1	9.234481	9.509083	9.148225	9.846031	9.676374	9.644907
Socs7	9.377793	9.260725	9.325377	9.026547	9.420281	9.253526
Rab6a	11.2006235	11.123283	10.790015	11.056371	11.341564	11.307646
RGD1307284	3.7946012	3.1089602	3.3604064	3.2231605	1.6646879	3.9984605
Mllt10	9.46189	9.872281	9.406086	10.088817	10.255142	10.025822
