0	0	0	1	1	1
0610005C13Rik	12.1342871	10.70581789	12.19508701	12.2556244	12.28586237	12.76567211
0610007P14Rik	10.53295392	10.69869344	10.50623572	10.71281764	10.31222091	10.52000811
0610009B22Rik	10.18007289	9.969468682	10.06760757	10.42356206	9.898794459	10.11372308
0610009L18Rik	6.411691035	6.389323198	7.044707165	7.214453791	6.635760053	6.966881692
0610009O20Rik	11.31354855	10.87989333	11.38783068	11.48041105	11.29845386	11.31771566
0610010B08Rik	7.485153197	7.595132735	7.488313816	7.502799286	7.135833656	7.288809787
0610010F05Rik	9.919249032	10.29877631	9.975255284	9.725191707	10.14852873	10.27500399
0610010K14Rik	8.177222054	8.166507984	8.106386249	8.351300852	7.989963277	7.84391774
0610011F06Rik	11.89586765	11.48412227	11.96728562	12.37191252	11.1885938	11.41612862
0610012G03Rik	10.72606291	10.56670951	10.58175468	10.92857771	10.22586586	10.44800838
0610030E20Rik	10.94644396	10.88074877	11.01776734	10.75402439	11.11565577	11.58858474
0610031J06Rik	12.8284098	13.00619056	12.79209456	13.07748878	11.88477189	11.86631055
0610037L13Rik	9.656214626	9.876466497	9.394072442	9.686596462	9.143101657	8.962581554
0610040F04Rik	7.56717075	6.722322734	7.826288183	7.43684506	7.187585944	7.495739441
0610040J01Rik	11.06070585	11.72798531	11.38612369	11.33898689	10.94838374	11.05938716
0610043K17Rik	7.100489346	6.310251627	6.806843335	7.038131019	5.635760053	5.481454865
1100001G20Rik	6.322881768	6.18287232	6.538354499	6.394274829	6.635760053	6.896492364
1110001J03Rik	10.3300203	9.621983954	10.36085291	10.65519436	10.72079616	10.7319112
1110002L01Rik	7.264465082	7.30005586	7.218474232	6.853706448	6.735295727	7.288809787
1110004E09Rik	10.11213075	9.990227242	10.02582915	10.31313807	10.29601068	10.24875654
1110004F10Rik	11.25699383	11.67373862	11.33689994	11.35282754	11.94058396	11.93156636
1110007C09Rik	9.69874867	10.20899138	9.631591978	9.438668948	9.706149381	9.817738253
1110008F13Rik	10.43571426	10.14492297	10.49888306	10.60128915	10.45921828	10.50530161
1110008L16Rik	9.667529939	9.634210257	9.940009786	9.77581778	10.01427168	10.0563637
1110008P14Rik	9.720641276	10.27424667	9.562738657	10.01266033	8.395220285	8.42631331
1110012L19Rik	9.178491858	9.389323198	9.271215695	9.316115766	9.460673346	9.711555381
1110032A03Rik	10.11378617	9.739820445	10.18483139	10.19031444	10.60055472	10.71539404
1110032F04Rik	6.930564345	6.330429509	4.663885381	5.149162331	3.676402038	3.74448927
1110034G24Rik	8.025081944	8.199423496	7.87982278	7.777979121	7.437214374	7.714115621
1110037F02Rik	10.9722235	11.07787659	10.77240984	10.57169437	10.84186739	10.84135081
1110038B12Rik	8.13446377	9.217253511	8.546551455	8.320929607	9.357942138	9.141351129
1110038F14Rik	9.729306137	9.907018828	9.394072442	9.56419983	9.171812953	9.132984982
1110051M20Rik	9.3568291	9.695779884	9.554656311	9.551621764	9.268028269	9.322757119
1110054M08Rik	7.996653535	7.684066463	7.961565929	8.399899378	8.128528856	8.401112756
1110057K04Rik	10.15184766	10.00988789	10.14864425	9.986114432	9.829846659	10.03806638
