0	0	0	1	1	1
LOC498225	9.426366	9.150423	8.769878	9.152215	9.204812	9.090548
Siat10	11.3570385	11.561137	11.4490595	11.6342325	11.431519	11.535549
Col10a1	5.5435386	5.902134	10.279376	0.40817016	8.832779	8.815246
Pelo	9.328451	9.786275	9.677564	9.873001	10.28796	9.592141
Cip98	10.939352	10.828782	11.101245	10.849539	11.073991	10.891112
B3galt3	9.516758	10.208569	9.779043	10.271777	10.129016	10.1984005
LOC498685	8.102798	8.147467	7.8224854	8.378852	8.481355	7.9540067
Tmx2	9.849314	9.21007	9.446874	8.98266	8.907976	8.857267
Alpk1	14.237931	14.3278475	14.266569	14.024071	14.100313	14.049304
Tbc1d2b	9.802624	9.980838	9.8843775	9.138916	9.02921	9.483272
Wsb2	12.075445	12.573588	11.761566	12.13923	12.173007	12.102738
U2af1l4	9.441899	9.659784	9.725039	9.164878	9.390161	9.152418
Lad1	10.891112	10.663859	10.725274	10.679241	10.577469	10.709305
Mrfap1	13.938582	13.609229	13.347546	13.297666	13.236208	13.429182
Ddx50	10.940383	10.910071	10.500173	10.6137495	10.661246	10.7039
Sirt2	8.793516	8.853011	8.6451025	8.8604145	9.002709	8.659303
RGD1563278	7.7514033	7.6698747	7.4724298	7.03468	7.152615	7.4704843
Mrps31	11.180611	10.807078	11.113642	10.734296	10.936304	10.562283
Akt1	10.664718	10.765104	10.79945	10.835029	10.786431	10.840262
RGD1564875	5.998089	6.5066814	5.5271416	6.2355275	5.633662	6.1469398
Lactb2	11.705573	11.531342	11.517631	11.404571	11.298842	11.296365
Slc12a7	10.491124	10.568177	10.783443	10.682805	10.603085	10.538047
Sephs2	11.832376	11.895751	11.52182	12.192193	11.901456	12.071097
Ndufb5	12.834787	12.770625	12.557965	12.774254	12.632706	12.830711
Snapap	10.096551	9.856576	10.159602	0.40817016	9.913571	9.687574
RGD1559904	8.867746	8.982928	9.366353	8.570691	8.745472	8.695666
Supv3l1	9.234481	9.509083	9.148225	9.54645	9.385015	9.248948
Socs7	9.377793	9.260725	9.325377	9.380321	9.01495	9.543893
Rab6a	11.2006235	11.123283	10.790015	11.1640005	11.052014	11.415528
RGD1307284	3.7946012	3.1089602	3.3604064	3.1063597	2.4948733	3.124466
Mllt10	9.46189	9.872281	9.406086	10.262888	9.87828	9.790252
Foxd4	8.5090885	8.53253	8.465691	7.5514274	8.041667	8.095374
Prkch	8.052501	8.236362	7.896051	7.804663	7.83448	7.6936564
Il16_mapped	8.644309	8.699932	8.232309	6.722899	6.6442714	7.141632
RGD1311634	10.890138	10.569852	11.035035	10.06191	10.544756	10.093758
Pnutl2	12.372086	11.839447	11.865819	11.321049	11.595866	11.726376
Mrpl41	11.463754	11.603175	11.436979	11.620635	11.470534	11.297595
Neurl2	10.322667	10.358752	10.403118	9.688864	9.912242	9.488408
Phr1	9.366728	9.407656	9.365688	9.588865	9.241031	9.918934
Coq4	9.003402	9.081809	9.235746	9.04117	8.98837	8.914175
Asah1	10.351812	10.474936	10.668751	10.061221	10.282787	10.112046
Copz1	11.891972	11.772301	12.084453	0.40817016	11.912934	11.820004
RGD1307129	10.019647	10.025822	9.663334	10.171829	9.868318	9.977407
Csnk2a1	5.4353294	3.6534715	5.733744	6.1350236	6.037919	5.575223
Arl6ip5	10.811787	10.524764	10.980883	11.148021	10.942397	11.102887
LOC619573	8.799115	8.66289	8.95552	8.865333	8.88314	8.874741
Ppp1r3c	8.404717	7.971275	8.464217	7.799261	7.5661235	8.459365
Ap4s1	10.100082	10.197691	10.352345	10.229222	10.10431	10.256776
Med4	8.934183	8.8257885	8.743628	8.414568	8.691402	8.907304
Arf1	11.905275	11.957711	11.943588	11.569408	11.700861	11.510359
RGD1563087	10.55648	7.8978653	10.815509	11.114871	7.913808	11.278938
Rpe	8.940454	8.711334	9.29659	9.197314	9.010897	9.091226
Dhtkd1	11.484127	11.674268	11.724046	11.54646	11.300133	11.265489
RGD1564058	11.503477	11.574134	11.711256	11.167428	11.280152	11.195889
Zfp189	6.904333	6.8841376	6.689193	7.063228	7.007372	7.096033
Dnajc15	10.047259	10.351812	10.207305	10.0632925	10.168813	10.440409
Mettl7a	11.044432	10.487922	11.390749	9.9734335	10.138136	10.423722
C1qg	10.675312	10.364975	9.902348	9.494787	9.027216	9.282779
Ube2q	10.343286	10.603085	10.186256	10.282997	10.27231	10.28648
RGD1306157	7.401844	7.1061416	7.667353	6.71138	6.7334127	6.6059074
Qser1	8.572577	8.75184	8.550618	8.49402	8.617889	8.694232
MGC109149	9.6293955	9.588272	9.694406	9.855276	9.661083	9.897517
Zdhhc3	9.724596	9.332336	9.190133	9.536753	9.587629	9.095886
Slc35b3	10.821233	11.040035	11.05133	10.716067	10.737555	10.8666115
RGD1565536	9.9794445	10.072902	9.9111185	9.647482	9.674657	9.618435
Gpx2	9.74992	9.3479395	9.485107	8.387782	9.603032	8.386804
Cnot2	10.843202	10.64549	10.627603	10.346614	10.636796	10.713833
Scamp2	10.8422165	11.002695	11.128473	10.923726	10.768768	10.824973
LOC499745	6.2081738	6.2984366	6.244981	6.9312897	7.1896844	6.8937097
RGD1308317	8.603539	8.850914	8.898307	8.482342	8.339359	8.018883
Ahdc1	11.351897	11.3570385	11.201433	10.846638	10.797694	11.204201
Pkp4	10.4118395	10.599612	10.854899	9.859869	10.242123	9.608191
Txndc12	11.027152	10.784539	11.2421875	10.796274	11.072914	10.947494
Calcrl	9.866998	9.7817335	9.342941	8.786854	8.783691	9.298396
RGD1308907	8.11505	8.07477	8.056966	7.78646	7.7421546	7.974684
Dcakd	10.2056875	9.949171	9.909796	9.843413	10.026502	10.290208
Ris1	5.3778815	5.160338	4.519155	4.305408	4.381363	4.3194203
LOC498178	11.146175	10.911095	10.95283	10.779457	10.764169	10.893096
RGD1563109	2.3552556	0.9797552	3.262483	1.7153621	1.2233459	2.7554798
RGD1564603	9.165741	9.20873	8.931401	9.2112255	8.907304	9.327814
Rgs10	4.9650683	4.3960867	4.5777946	3.5170913	3.7246168	3.8700037
