0	0	0	1	1	1
0610005C13Rik	12.1342871	10.70581789	12.19508701	11.86684832	12.49988488	12.48479866
0610007P14Rik	10.53295392	10.69869344	10.50623572	10.77066389	10.6571965	10.66762305
0610009B22Rik	10.18007289	9.969468682	10.06760757	10.15101654	10.33388053	10.16552882
0610009L18Rik	6.411691035	6.389323198	7.044707165	6.845490051	7.231763829	7.090437901
0610009O20Rik	11.31354855	10.87989333	11.38783068	11.17617315	11.45053219	11.46827814
0610010B08Rik	7.485153197	7.595132735	7.488313816	7.483815777	7.346323593	7.651941429
0610010F05Rik	9.919249032	10.29877631	9.975255284	10.08347933	10.0860398	10.19828773
0610010K14Rik	8.177222054	8.166507984	8.106386249	8.212357386	7.995709294	8.057063763
0610011F06Rik	11.89586765	11.48412227	11.96728562	11.93258387	11.99326011	11.6460166
0610012G03Rik	10.72606291	10.56670951	10.58175468	10.62753388	10.71484672	10.49269356
0610030E20Rik	10.94644396	10.88074877	11.01776734	10.88874325	11.01334031	11.17310204
0610031J06Rik	12.8284098	13.00619056	12.79209456	12.90595104	12.52265855	12.35994167
0610037L13Rik	9.656214626	9.876466497	9.394072442	9.663558104	9.365468642	9.257775108
0610040F04Rik	7.56717075	6.722322734	7.826288183	7.108372929	7.738067274	7.323489664
0610040J01Rik	11.06070585	11.72798531	11.38612369	11.51717725	11.18017933	11.21772503
0610043K17Rik	7.100489346	6.310251627	6.806843335	6.569855608	6.421425048	5.864162046
1100001G20Rik	6.322881768	6.18287232	6.538354499	6.247927513	6.195543641	6.136241591
1110001J03Rik	10.3300203	9.621983954	10.36085291	10.27262978	10.4188091	10.72308138
1110002L01Rik	7.264465082	7.30005586	7.218474232	7.312882955	7.389716188	7.275792943
1110004E09Rik	10.11213075	9.990227242	10.02582915	10.08480839	10.18788194	10.39951079
1110004F10Rik	11.25699383	11.67373862	11.33689994	11.57978733	11.34356773	11.66518401
1110007C09Rik	9.69874867	10.20899138	9.631591978	9.955649908	9.546520268	10.01582484
1110008F13Rik	10.43571426	10.14492297	10.49888306	10.31061278	10.29304017	10.59772104
1110008L16Rik	9.667529939	9.634210257	9.940009786	9.640244936	9.8617225	9.675400402
