0	0	0	1	1	1
LOC498225	9.426366	9.150423	8.769878	9.260451	9.042084	9.159709
Siat10	11.3570385	11.561137	11.4490595	11.77218	11.431519	11.625477
Col10a1	5.5435386	5.902134	10.279376	9.539825	5.569326	9.158385
Pelo	9.328451	9.786275	9.677564	9.655052	9.773271	9.990389
Cip98	10.939352	10.828782	11.101245	10.134434	10.458026	10.270827
B3galt3	9.516758	10.208569	9.779043	10.394483	9.431559	9.514188
LOC498685	8.102798	8.147467	7.8224854	8.4072485	9.054872	8.757491
Tmx2	9.849314	9.21007	9.446874	9.280596	8.568961	9.05153
Alpk1	14.237931	14.3278475	14.266569	14.024231	14.153994	14.061658
Tbc1d2b	9.802624	9.980838	9.8843775	9.506262	9.098542	9.47678
Wsb2	12.075445	12.573588	11.761566	12.657523	12.751094	12.727844
U2af1l4	9.441899	9.659784	9.725039	9.012627	8.974681	9.362798
Lad1	10.891112	10.663859	10.725274	10.945278	11.210193	11.032488
Mrfap1	13.938582	13.609229	13.347546	13.609128	13.437592	13.599779
Ddx50	10.940383	10.910071	10.500173	10.9514675	10.476587	10.693942
Sirt2	8.793516	8.853011	8.6451025	8.713083	8.391996	8.845362
RGD1563278	7.7514033	7.6698747	7.4724298	7.817594	7.563201	7.8934174
Mrps31	11.180611	10.807078	11.113642	11.101652	10.611662	11.202981
Akt1	10.664718	10.765104	10.79945	10.773252	11.23405	11.078421
RGD1564875	5.998089	6.5066814	5.5271416	5.810387	5.7281227	5.811924
Lactb2	11.705573	11.531342	11.517631	10.599447	10.885193	11.264254
Slc12a7	10.491124	10.568177	10.783443	10.02425	10.101471	10.681503
Sephs2	11.832376	11.895751	11.52182	11.2195425	11.475943	11.485456
Ndufb5	12.834787	12.770625	12.557965	12.51693	12.398587	12.437738
Snapap	10.096551	9.856576	10.159602	9.321678	9.389524	9.345949
RGD1559904	8.867746	8.982928	9.366353	8.521199	9.046081	8.860732
Supv3l1	9.234481	9.509083	9.148225	9.333361	9.182965	9.569621
Socs7	9.377793	9.260725	9.325377	9.5210495	9.199477	8.93071
Rab6a	11.2006235	11.123283	10.790015	11.654209	11.402352	11.263029
RGD1307284	3.7946012	3.1089602	3.3604064	2.8322456	2.5915356	2.5574985
Mllt10	9.46189	9.872281	9.406086	10.067177	9.895492	10.036161
Foxd4	8.5090885	8.53253	8.465691	8.64035	8.712035	8.579042
Prkch	8.052501	8.236362	7.896051	8.372982	8.752549	8.658609
Il16_mapped	8.644309	8.699932	8.232309	8.131568	8.025638	8.559504
RGD1311634	10.890138	10.569852	11.035035	10.106947	10.158094	10.235556
Pnutl2	12.372086	11.839447	11.865819	11.529825	11.158645	12.227653
Mrpl41	11.463754	11.603175	11.436979	11.518541	10.877383	11.369916
Neurl2	10.322667	10.358752	10.403118	9.015319	9.393417	9.493564
Phr1	9.366728	9.407656	9.365688	8.922088	9.40057	8.982928
Coq4	9.003402	9.081809	9.235746	8.652485	8.622884	8.512021
Asah1	10.351812	10.474936	10.668751	10.189552	9.404443	10.3626
Copz1	11.891972	11.772301	12.084453	12.232598	11.804447	11.814763
RGD1307129	10.019647	10.025822	9.663334	10.654087	10.030659	10.479024
Csnk2a1	5.4353294	3.6534715	5.733744	6.1057606	0.6854766	5.694316
Arl6ip5	10.811787	10.524764	10.980883	10.961721	11.003751	10.9952965
LOC619573	8.799115	8.66289	8.95552	9.017347	9.153751	9.280861
Ppp1r3c	8.404717	7.971275	8.464217	7.5380726	6.926878	7.425261
Ap4s1	10.100082	10.197691	10.352345	10.209854	10.298509	10.361829
Med4	8.934183	8.8257885	8.743628	9.007875	8.569677	8.720537
Arf1	11.905275	11.957711	11.943588	11.762116	11.672724	11.767269
RGD1563087	10.55648	7.8978653	10.815509	10.165064	9.864357	10.121265
Rpe	8.940454	8.711334	9.29659	8.991495	9.128444	9.119202
Dhtkd1	11.484127	11.674268	11.724046	10.898922	11.367278	11.281366
RGD1564058	11.503477	11.574134	11.711256	11.249579	11.378986	11.520092
Zfp189	6.904333	6.8841376	6.689193	7.51047	7.370014	7.4494996
Dnajc15	10.047259	10.351812	10.207305	10.293763	10.189023	10.034785
Mettl7a	11.044432	10.487922	11.390749	10.23609	11.110781	10.486339
C1qg	10.675312	10.364975	9.902348	11.180464	11.017601	11.427504
Ube2q	10.343286	10.603085	10.186256	10.40935	9.822927	10.487922
RGD1306157	7.401844	7.1061416	7.667353	6.4902935	7.167908	6.624301
Qser1	8.572577	8.75184	8.550618	8.893168	8.770248	8.639996
MGC109149	9.6293955	9.588272	9.694406	9.59126	9.332983	9.187627
Zdhhc3	9.724596	9.332336	9.190133	9.102301	9.547785	9.1398
Slc35b3	10.821233	11.040035	11.05133	10.602917	10.259695	10.667364
RGD1565536	9.9794445	10.072902	9.9111185	10.0352745	9.51936	9.924348
Gpx2	9.74992	9.3479395	9.485107	9.678296	10.066668	9.460625
Cnot2	10.843202	10.64549	10.627603	10.465064	10.418148	10.630687
Scamp2	10.8422165	11.002695	11.128473	10.469961	11.224469	11.034641
LOC499745	6.2081738	6.2984366	6.244981	6.2518435	0.6854766	6.9842763
RGD1308317	8.603539	8.850914	8.898307	8.39606	8.38755	8.668564
Ahdc1	11.351897	11.3570385	11.201433	10.537048	10.297757	10.982696
Pkp4	10.4118395	10.599612	10.854899	10.427513	10.190443	10.3378725
Txndc12	11.027152	10.784539	11.2421875	10.815463	11.011201	10.908099
Calcrl	9.866998	9.7817335	9.342941	9.05655	8.65431	8.958229
RGD1308907	8.11505	8.07477	8.056966	8.057813	8.11505	8.207279
