0	0	0	1	1	1
Gnai3	17.45766738	18.64468813	17.3318752	16.28665655	13.74336739	14.80459596
Pbsn	0	0	0	0	0	0
Cdc45	0.408567885	0.461766828	0.402184011	0.248971055	0.325577533	0.327705491
H19	0.002842141	0.002842141	0.014210704	0.014210704	0.028421409	0.017052845
Scml2	0.026824176	0.023325371	0.034988056	0.015161491	0.020992834	0.029156713
Apoh	2.237249855	3.004841855	0.173176244	6.763234393	5.284215661	4.839573954
Narf	3.320488092	3.104710698	3.003807601	2.637451738	3.089187145	3.292545696
Cav2	7.715645493	8.082524548	9.227903061	6.113905228	6.07811215	5.986392386
Klf6	18.02544194	16.74604164	22.66390518	13.32751122	12.19593008	13.3988722
Scmh1	1.648265248	1.551762599	1.693621493	1.324981373	1.60097895	1.707131864
Cox5a	12.88297414	16.55469279	18.47577576	17.01632086	19.16111589	14.71528248
Tbx2	5.230252497	5.376337441	6.954466341	6.843359482	7.584071874	6.610858093
Tbx4	0.00438731	0.008774619	0.015355583	0.008774619	0	0.008774619
Zfy2	0	0	0	0	0	0
Ngfr	0.441661765	0.376711505	0.755588019	0.151550606	0.630017517	0.647337586
Wnt3	0.004850858	0	0	0	0	0
Wnt9a	0.345129303	0.374263595	0.730598395	0.414603384	0.540104949	0.56923924
Fer	0.691860897	0.74925028	1.064891887	0.581864579	0.688672598	0.717367289
Xpo6	1.814006495	1.484187132	1.602357706	1.337355785	1.287530132	1.42995213
Tfe3	1.809367465	1.730419107	2.252444983	1.654693131	1.968875371	1.947929888
Axin2	0.424114421	0.319779563	0.853648834	0.345524528	0.590779193	0.620589152
Brat1	1.412676028	1.38852772	1.475461629	1.396979628	1.556358461	1.679514833
Gna12	11.86579257	11.62555013	10.76504539	10.92229498	13.2460946	13.24391057
Slc22a18	39.36256384	44.22360335	21.3850609	52.65467459	47.95171766	44.2104298
Itgb2l	0.253633467	0.19842074	0.186342955	0.322649377	0.38821449	0.579733639
Igsf5	2.936343825	3.072367809	2.995484687	3.119680499	3.465654544	2.750050108
Pih1d2	0.161783793	0.206871079	0.228088625	0.307654425	0.517177697	0.368654871
Dlat	9.812104562	9.766296417	7.41786554	10.16940809	8.338609246	8.355405565
Sdhd	37.75764533	41.88492567	35.55158066	37.9576457	40.7697721	33.96975957
Fgf23	0.016451201	0.008225601	0.045240804	0	0	0.008225601
Fgf6	0	0	0	0	0	0
Ccnd2	1.287708212	1.158461637	1.420126483	0.906311876	0.719181865	0.80006009
Gpr107	2.086355375	1.874797771	2.114407212	1.882395144	1.711162055	1.7923955
Nalcn	0.01622425	0.007098109	0.00456307	0.00912614	0.002028031	0.004056062
Btbd17	0.063205753	0.042137169	0.189617259	0.035114307	0.077251476	0.081933384
Slfn4	0.077165846	0.095986784	0.114807722	0.289842445	0.05458072	0.06963747
Th	0	0	0	0	0	0
Ins2	0.011372896	0	0	0	0	0
Scnn1g	4.911387631	5.003678815	6.979209035	5.397787117	5.337922564	5.238148311
